ScannedBarcode,CountOfMRP,MRP,Conversion,Check MRP,CombiBarCode+MRP,SBF,Category,Picking_Status,CombiBarCode+MRP+Conversion,QtyPicked
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4902430722193,#REF!,95,#REF!,OK,4902430722193_95,,,#REF!,#REF!,0
4987176193629,#REF!,175,#REF!,OK,4987176193629_175,,,#REF!,#REF!,0
4987176345516,#REF!,249,#REF!,OK,4987176345516_249,,,#REF!,#REF!,0
4987176105967,#REF!,375,#REF!,OK,4987176105967_375,,,#REF!,#REF!,0
4987176278647,#REF!,290,#REF!,OK,4987176278647_290,,,#REF!,#REF!,0
4987176278647,#REF!,290,#REF!,OK,4987176278647_290,,,#REF!,#REF!,0
4987176278647,#REF!,290,#REF!,OK,4987176278647_290,,,#REF!,#REF!,0
4987176278647,#REF!,290,#REF!,OK,4987176278647_290,,,#REF!,#REF!,0
4987176278647,#REF!,290,#REF!,OK,4987176278647_290,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176077721,#REF!,99,#REF!,OK,4987176077721_99,,,#REF!,#REF!,0
4987176179388,#REF!,199,#REF!,OK,4987176179388_199,,,#REF!,#REF!,0
4987176176257,#REF!,299,#REF!,OK,4987176176257_299,,,#REF!,#REF!,0
4987176176356,#REF!,299,#REF!,OK,4987176176356_299,,,#REF!,#REF!,0
4987176295026,#REF!,132,#REF!,OK,4987176295026_132,,,#REF!,#REF!,0
4987176295026,#REF!,132,#REF!,OK,4987176295026_132,,,#REF!,#REF!,0
4987176295026,#REF!,132,#REF!,OK,4987176295026_132,,,#REF!,#REF!,0
4987176294982,#REF!,132,#REF!,OK,4987176294982_132,,,#REF!,#REF!,0
4987176278616,#REF!,40,#REF!,OK,4987176278616_40,,,#REF!,#REF!,0
4987176278616,#REF!,40,#REF!,OK,4987176278616_40,,,#REF!,#REF!,0
4987176093301,#REF!,1217,#REF!,OK,4987176093301_1217,,,#REF!,#REF!,0
4987176093363,#REF!,1730,#REF!,OK,4987176093363_1730,,,#REF!,#REF!,0
4987176303882,#REF!,350,#REF!,OK,4987176303882_350,,,#REF!,#REF!,0
4987176303790,#REF!,350,#REF!,OK,4987176303790_350,,,#REF!,#REF!,0
4987176210883,#REF!,840,#REF!,OK,4987176210883_840,,,#REF!,#REF!,0
4987176351777,#REF!,380,#REF!,OK,4987176351777_380,,,#REF!,#REF!,0
4987176356918,#REF!,350,#REF!,OK,4987176356918_350,,,#REF!,#REF!,0
4987176289674,#REF!,983,#REF!,OK,4987176289674_983,,,#REF!,#REF!,0
4987176093356,#REF!,1730,#REF!,OK,4987176093356_1730,,,#REF!,#REF!,0
