CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
4987176331717_1150,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Mat 5.8kg+0.5L TL,4.98718E+12,2,1150,1022.19,1064.82,1,Singles,4987176331717_1150_Singles,1,1
4987176331748_1250,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Mat 5.8kg+0.5L FL,4.98718E+12,2,1250,1111.08,1157.41,1,Singles,4987176331748_1250_Singles,1,1
4987176331946_620,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,Whspr Ult ON XXL+ 30s,4.98718E+12,27,620,462.46,481.74,2,Singles,4987176331946_620_Singles,1,1
4987176331946_655,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,Whspr Ult ON XXL+ 30s,4.98718E+12,27,655,488.56,508.93,2,Singles,4987176331946_655_Singles,1,1
4987176331960_140,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,whspr Ult ON XXL+ 6s,4.98718E+12,54,140,117.89,122.81,2,Singles,4987176331960_140_Singles,1,1
4987176331960_150,PGHC,Fem Care,Whisper Ultra,Whisper Super Premium Nights,whspr Ult ON XXL+ 6s,4.98718E+12,54,150,126.31,131.58,2,Singles,4987176331960_150_Singles,1,1
4987176331991_666,PGHC,Fem Care,Whisper Choice,Whisper Choice Ultra,whspr Choice Ultr 80s,4.98718E+12,1,666,448.34,467.04,1,Singles,4987176331991_666_Singles,1,1
4987176332455_125,PGHC,Fem Care,Whisper Maxi,Whisper Thick,whspr Maxi Rg 8s,4.98718E+12,75,125,108.1,112.61,2,Singles,4987176332455_125_Singles,1,1
4987176332455_135,PGHC,Fem Care,Whisper Maxi,Whisper Thick,whspr Maxi Rg 8s,4.98718E+12,75,135,116.75,121.62,2,Singles,4987176332455_135_Singles,1,1
4987176332592_140,GIL,Grooming,Guard,Guard Razor,Guard Razor Rs28,4.98718E+12,108,140,106.39,110.83,1,Singles,4987176332592_140_Singles,1,1
4987176332592_28,GIL,Grooming,Guard,Guard Razor,Guard Razor Rs28 HTH,4.98718E+12,540,28,22.17,22.17,1,Singles,4987176332592_28_Singles,1,1
4987176332691_10,PGHP,Fabric & Home Care,Tide,Tide Bar,Tide Blue Bar Rs10D,4.98718E+12,72,10,8.81,9.18,1,Singles,4987176332691_10_Singles,1,1
4987176332752_10,PGHP,Fabric & Home Care,Tide,Tide Bar,Tide White Bar Rs10D,4.98718E+12,72,10,8.81,9.18,1,Singles,4987176332752_10_Singles,1,1
4987176332905_280,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LM 2.2Kg,4.98718E+12,12,280,248.88,259.26,2,Singles,4987176332905_280_Singles,1,1
4987176332905_285,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LM 2.2Kg,4.98718E+12,12,285,253.33,263.89,2,Singles,4987176332905_285_Singles,1,1
4987176332912_280,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 2.2Kg,4.98718E+12,12,280,248.88,259.26,2,Singles,4987176332912_280_Singles,1,1
4987176332912_285,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 2.2Kg,4.98718E+12,12,285,253.33,263.89,2,Singles,4987176332912_285_Singles,1,1
4987176332981_1725,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Mat 8kg+0.5L TL,4.98718E+12,1,1725,1533.28,1597.22,1,Singles,4987176332981_1725_Singles,1,1
4987176333070_1899,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Mat 8kg+0.5L FL,4.98718E+12,1,1899,1687.95,1758.34,1,Singles,4987176333070_1899_Singles,1,1
4987176335142_52,GIL,Grooming,Guard,Guard Cart,Guard Cart 4s SBD,4.98718E+12,480,52,41.6,43.33,1,Singles,4987176335142_52_Singles,1,1
